
Initialize MPU6050

 * Sleep Mode:            Disabled
 * Clock Source:          PLL with X axis gyroscope reference
 * Accelerometer:         +/- 2 g
 * Accelerometer offsets: -3440 / -1783 / 1206

x,y,z
9.74,-1.09,2.34,
9.82,-1.19,2.43,
9.86,-1.07,2.40,
9.80,-1.19,2.39,
9.77,-1.18,2.35,
9.77,-1.20,2.29,
9.79,-1.17,2.35,
9.79,-1.11,2.40,
9.82,-1.18,2.31,
9.79,-1.19,2.40,
9.78,-1.12,2.31,
9.82,-1.19,2.39,
9.82,-1.14,2.42,
9.75,-1.17,2.35,
9.82,-1.17,2.30,
9.80,-1.15,2.41,
9.76,-1.12,2.47,
9.80,-1.12,2.46,
9.80,-1.21,2.35,
9.81,-1.16,2.33,
9.83,-1.17,2.36,
9.85,-1.17,2.43,
9.81,-1.12,2.41,
9.80,-1.10,2.42,
9.81,-1.19,2.43,
9.77,-1.11,2.32,
9.80,-1.12,2.45,
9.87,-1.16,2.35,
9.83,-1.14,2.34,
9.82,-1.12,2.45,
9.84,-1.18,2.36,
9.86,-1.15,2.42,
9.79,-1.13,2.29,
9.81,-1.18,2.36,
9.81,-1.15,2.40,
9.83,-1.14,2.39,
9.72,-1.16,2.33,
9.83,-1.20,2.40,
9.85,-1.13,2.37,
9.83,-1.18,2.40,
9.77,-1.16,2.48,
9.76,-1.20,2.38,
9.70,-1.14,2.42,
9.81,-1.15,2.42,
9.78,-1.19,2.36,
9.77,-1.13,2.44,
9.81,-1.22,2.40,
9.75,-1.14,2.45,
9.81,-1.12,2.38,
9.75,-1.08,2.41,
9.78,-1.14,2.40,
9.82,-1.17,2.45,
9.76,-1.11,2.44,
9.78,-1.15,2.38,
9.83,-1.18,2.37,
9.87,-1.17,2.45,
9.81,-1.16,2.40,
9.82,-1.15,2.42,
9.82,-1.11,2.46,
9.77,-1.19,2.40,
9.78,-1.16,2.41,
9.82,-1.14,2.35,
9.81,-1.17,2.41,
9.77,-1.19,2.41,
9.82,-1.15,2.37,
9.76,-1.11,2.32,
9.77,-1.20,2.43,
9.77,-1.10,2.41,
9.79,-1.15,2.39,
9.82,-1.11,2.28,
9.78,-1.15,2.37,
9.79,-1.17,2.36,
9.79,-1.13,2.30,
9.78,-1.18,2.41,
9.76,-1.09,2.40,
9.83,-1.14,2.39,
9.80,-1.14,2.40,
9.82,-1.12,2.34,
9.78,-1.21,2.40,
9.84,-1.12,2.38,
