x,y,z,
9.14,-4.71,-3.88,
9.15,-4.30,-4.22,
9.10,-4.14,-3.53,
9.17,-4.25,-3.99,
9.13,-3.99,-3.34,
9.28,-3.99,-3.33,
9.27,-4.29,-3.23,
9.38,-4.14,-3.40,
9.26,-4.28,-3.23,
9.11,-4.76,-3.67,
9.10,-4.76,-3.87,
9.13,-4.80,-3.91,
8.96,-4.92,-3.98,
8.97,-4.71,-3.99,
9.27,-4.38,-4.28,
9.12,-4.47,-4.23,
9.34,-4.21,-3.99,
9.18,-3.96,-3.24,
9.30,-4.01,-3.23,
9.33,-3.96,-3.27,
9.35,-3.94,-3.40,
9.10,-4.28,-3.17,
9.03,-4.57,-3.51,
9.10,-4.40,-3.42,
9.10,-4.63,-3.71,
9.10,-4.89,-3.83,
9.02,-4.85,-3.74,
9.06,-4.80,-3.76,
9.15,-4.70,-3.98,
9.32,-4.41,-4.07,
9.17,-4.04,-3.60,
9.35,-4.19,-4.05,
9.17,-4.03,-3.44,
9.27,-4.02,-3.39,
9.22,-4.16,-3.44,
9.29,-4.11,-3.40,
9.24,-4.31,-3.33,
9.22,-4.42,-3.46,
9.57,-4.49,-3.46,
9.66,-4.52,-3.51,
9.85,-4.39,-3.45,
9.57,-4.46,-3.52,
9.35,-4.47,-4.00,
9.14,-4.65,-3.68,
9.07,-4.43,-4.02,
8.97,-4.06,-3.99,
9.00,-3.95,-3.34,
8.95,-4.33,-3.48,
8.80,-4.51,-3.13,
9.07,-4.78,-3.17,
9.30,-4.28,-2.91,
9.49,-4.19,-3.07,
9.46,-4.11,-3.17,
9.61,-4.42,-3.65,
9.36,-4.09,-3.21,
9.10,-3.81,-2.99,
9.38,-4.64,-3.43,
9.25,-4.68,-3.74,
8.95,-4.60,-3.84,
9.10,-4.91,-4.06,
9.02,-4.57,-3.64,
9.27,-4.22,-3.64,
9.40,-3.82,-3.57,
9.18,-3.51,-3.18,
9.55,-3.88,-3.21,
9.62,-3.64,-2.84,
9.80,-4.06,-3.57,
9.43,-4.19,-3.09,
9.51,-4.62,-3.44,
9.27,-5.02,-3.52,
9.16,-4.52,-3.72,
9.20,-4.99,-3.87,
8.97,-4.71,-3.79,
8.93,-4.79,-3.83,
8.87,-4.35,-3.23,
8.79,-4.43,-3.67,
8.70,-4.56,-2.74,
9.52,-3.96,-3.11,
9.76,-3.73,-2.79,
10.15,-5.57,-1.66,
10.16,-4.45,-1.61,
9.75,-3.90,-4.90,
9.52,-3.86,-4.11,
8.73,-5.08,-3.75,
8.67,-4.07,-3.39,
8.79,-4.18,-3.55,
8.42,-4.66,-3.50,
9.72,-4.01,-4.97,
8.60,-4.01,-2.26,
9.43,-4.24,-3.27,
8.12,-4.33,-2.29,
9.90,-4.90,-4.39,
9.96,-4.57,-3.22,
9.20,-4.93,-2.78,
8.49,-4.83,-4.35,
7.91,-3.94,-3.29,
9.54,-5.32,-4.09,
9.62,-4.13,-3.80,
9.73,-3.45,-3.58,
9.48,-4.64,-2.96,
9.78,-3.76,-2.95,
9.39,-3.83,-2.91,
9.09,-4.03,-2.73,
9.13,-4.24,-2.83,
9.23,-4.10,-2.47,
9.10,-4.92,-2.64,
9.97,-4.23,-3.93,
10.71,-4.60,-4.03,
6.31,-6.91,-5.21,
8.95,-2.52,-3.56,
9.71,-5.11,-4.83,
6.30,-4.70,-1.26,
11.45,-4.59,-7.10,
8.45,-1.40,-1.35,
9.38,-4.85,-3.63,
10.11,-4.36,-3.89,
7.84,-5.29,-2.85,
3.31,-3.67,-12.33,
9.28,-7.34,-2.89,
7.98,-4.58,-4.30,
9.55,-6.47,-3.44,
9.33,-3.11,-5.57,
8.76,-3.22,-1.12,
9.25,-3.44,-2.67,
9.78,-2.68,-3.28,
8.58,-3.71,-2.69,
8.96,-2.88,-2.00,
10.79,-6.74,-3.85,
9.52,-2.88,-3.20,
9.88,-4.16,-2.02,
9.41,-5.31,-2.27,
10.47,-5.51,-3.69,
8.72,-1.19,-2.40,
9.84,-2.67,-2.32,
9.72,-5.34,-2.16,
6.43,-15.88,18.50,
11.54,-0.64,-10.77,
19.60,4.30,-19.60,
19.60,10.53,3.46,
10.93,-10.20,-8.64,
7.33,-1.12,1.91,
9.82,-5.87,-2.29,
9.66,-3.63,-3.27,
9.03,-4.71,-1.60,
10.72,-3.19,-4.43,
9.31,-4.21,-3.02,
8.66,-4.13,-1.91,
9.18,-4.21,-3.06,
8.86,-4.18,-1.80,
8.94,-3.51,-3.00,
9.43,-4.61,-3.24,
9.49,-4.62,-1.97,
9.30,-3.80,-2.33,
11.16,-4.38,-2.12,
10.99,-4.03,-1.56,
9.90,-2.95,-3.46,
9.98,-4.28,-4.65,
10.43,-2.99,-4.86,
10.90,-4.75,-6.81,
12.15,-4.90,-6.25,
11.93,-4.79,-5.26,
10.82,-3.61,-5.36,
10.43,-4.65,-4.86,
9.94,-4.37,-4.09,
9.56,-4.25,-3.37,
10.05,-4.75,-3.59,
10.06,-5.19,-2.54,
10.68,-5.20,-3.12,
10.34,-3.95,-2.63,
10.26,-3.24,-4.91,
9.48,-5.01,-4.11,
8.50,-5.47,-3.85,
9.00,-4.73,-3.50,
9.52,-2.65,-3.37,
10.59,-4.52,-5.63,
9.31,-5.42,-4.22,
9.27,-5.40,-4.51,
9.56,-4.13,-4.01,
9.46,-2.54,-3.61,
8.67,-4.72,-3.85,
7.67,-4.52,-2.23,
7.78,-4.40,-3.00,
7.70,-4.38,-2.22,
8.69,-3.92,-2.42,
10.46,-2.46,-1.77,
9.04,-5.57,-3.12,
9.23,-4.08,-5.91,
9.70,-5.05,-4.36,
11.09,-5.65,-7.38,
8.48,-4.26,-5.30,
6.97,-4.71,-3.83,
6.01,-4.70,-0.49,
5.99,-4.05,-1.00,
11.49,-3.84,6.73,
12.83,-6.40,-0.85,
7.82,-1.79,-2.94,
8.36,-6.39,-3.68,
6.58,-5.94,-2.79,
8.85,-1.71,-4.02,
11.54,-4.52,-3.38,
7.99,-5.99,0.63,
6.84,-4.81,2.92,
7.15,-3.09,1.93,
8.44,-4.33,-0.77,
9.65,-1.68,-2.11,
9.46,-2.34,-0.96,
10.21,-5.36,-1.51,
10.59,-4.17,-1.37,
10.74,-4.04,-0.49,
9.15,-3.27,-1.14,
6.89,-6.54,0.38,
8.20,-3.11,-2.26,
