x,y,z,
9.56,0.04,2.60,
9.75,-0.04,2.81,
9.94,-0.06,2.89,
9.82,0.12,2.71,
9.62,0.07,2.54,
9.82,-0.03,2.85,
9.96,0.03,2.82,
9.68,0.10,2.59,
9.73,-0.05,2.84,
9.91,0.01,2.94,
9.82,0.12,2.57,
9.64,-0.00,2.78,
9.84,-0.05,2.89,
9.87,-0.02,2.88,
9.70,0.11,2.59,
9.53,-0.02,2.65,
9.74,-0.02,2.82,
9.94,-0.03,2.82,
9.85,0.12,2.63,
9.56,0.07,2.55,
9.84,-0.02,2.74,
9.87,0.11,2.82,
9.60,0.10,2.46,
9.68,-0.05,2.74,
9.92,0.04,2.79,
9.66,0.07,2.59,
9.59,0.03,2.49,
9.88,0.03,2.84,
9.66,0.09,2.53,
9.65,-0.01,2.64,
9.93,0.06,2.90,
9.75,0.16,2.61,
9.55,0.02,2.58,
9.95,0.07,2.86,
9.75,0.06,2.53,
9.61,0.06,2.68,
9.88,0.09,2.80,
9.64,0.10,2.50,
9.58,-0.02,2.62,
9.88,-0.03,2.94,
9.91,0.08,2.77,
9.62,0.12,2.51,
9.63,-0.02,2.82,
9.96,0.04,2.85,
9.73,0.12,2.60,
9.63,0.10,2.57,
9.96,0.05,2.86,
9.72,0.12,2.56,
9.61,-0.03,2.64,
9.87,-0.07,2.87,
9.97,0.10,2.83,
9.67,0.07,2.48,
9.76,-0.05,2.85,
9.88,-0.02,2.91,
9.87,0.06,2.79,
9.54,0.02,2.50,
9.84,0.05,2.79,
9.83,0.04,2.75,
9.54,-0.02,2.58,
9.70,-0.08,2.75,
9.93,-0.07,2.79,
9.89,0.01,2.86,
9.52,0.06,2.54,
9.71,-0.13,2.79,
9.90,0.05,2.85,
9.73,0.09,2.56,
9.59,0.01,2.54,
9.85,-0.06,2.92,
9.77,0.01,2.70,
9.58,0.03,2.57,
9.79,-0.07,2.71,
9.86,0.07,2.75,
9.62,0.12,2.54,
9.69,0.00,2.64,
9.87,0.01,2.81,
9.61,0.08,2.49,
9.70,-0.11,2.82,
9.85,-0.03,2.87,
9.82,0.12,2.72,
9.56,0.05,2.61,
9.68,0.00,2.74,
9.82,0.04,2.75,
9.60,0.03,2.52,
9.80,-0.05,2.74,
9.89,0.08,2.82,
9.65,0.13,2.48,
9.66,-0.01,2.66,
9.95,-0.01,2.90,
9.89,0.08,2.84,
9.61,0.13,2.59,
9.78,-0.04,2.84,
9.89,0.01,2.85,
9.77,0.10,2.61,
9.59,-0.06,2.76,
9.87,-0.06,2.88,
9.86,0.03,2.91,
9.72,0.10,2.65,
9.76,-0.01,2.84,
9.87,-0.06,2.78,
9.96,0.01,2.84,
9.54,0.13,2.44,
9.65,-0.07,2.66,
9.87,-0.08,2.86,
9.79,0.09,2.68,
9.62,0.04,2.50,
9.74,-0.10,2.75,
9.95,-0.00,2.85,
9.75,0.11,2.63,
9.61,0.10,2.62,
9.92,-0.02,2.90,
9.93,0.02,2.74,
9.70,0.10,2.57,
9.62,-0.04,2.62,
9.87,-0.03,2.89,
9.87,0.04,2.79,
9.60,0.10,2.54,
9.79,-0.06,2.84,
9.92,-0.03,2.83,
9.88,0.10,2.75,
9.56,0.10,2.54,
9.83,-0.08,2.81,
9.97,-0.02,2.81,
9.73,0.17,2.59,
9.61,0.03,2.51,
9.83,-0.05,2.90,
10.00,0.01,2.81,
9.70,0.12,2.61,
9.60,0.04,2.55,
9.75,-0.03,2.82,
9.81,0.13,2.67,
9.54,0.08,2.50,
9.73,-0.03,2.73,
9.93,0.02,2.87,
9.66,0.15,2.50,
9.66,-0.01,2.59,
9.89,0.07,2.87,
9.86,0.09,2.72,
9.57,0.09,2.56,
9.88,-0.03,2.84,
9.96,0.05,2.79,
9.64,0.11,2.53,
9.80,-0.06,2.80,
9.87,0.03,2.92,
9.74,0.08,2.67,
9.63,-0.05,2.71,
9.83,-0.01,2.86,
9.92,0.03,2.83,
9.79,0.09,2.62,
9.69,-0.05,2.79,
9.82,-0.10,2.86,
9.97,0.01,2.92,
9.60,0.08,2.55,
9.74,-0.08,2.78,
9.88,-0.08,2.80,
9.86,0.10,2.70,
9.57,0.04,2.55,
9.71,-0.08,2.81,
9.86,0.04,2.89,
9.66,0.13,2.55,
9.60,0.00,2.70,
9.87,0.05,2.91,
9.65,0.16,2.48,
9.68,-0.04,2.70,
9.74,-0.03,2.78,
9.87,0.05,2.64,
9.67,0.13,2.51,
9.70,0.03,2.74,
9.82,0.00,2.74,
9.60,0.12,2.49,
9.72,0.01,2.76,
9.88,0.05,2.73,
9.57,0.13,2.51,
9.71,-0.07,2.82,
9.98,0.07,2.78,
9.70,0.10,2.51,
9.59,-0.05,2.57,
9.88,-0.01,2.84,
9.86,0.07,2.78,
9.69,0.11,2.57,
9.77,-0.02,2.75,
9.95,0.00,2.83,
9.83,0.10,2.53,
9.56,-0.00,2.62,
9.81,-0.05,2.89,
9.95,0.07,2.83,
9.72,0.08,2.54,
9.65,-0.04,2.69,
9.88,-0.05,2.84,
9.94,0.05,2.80,
9.65,0.14,2.47,
9.69,-0.08,2.87,
9.88,-0.05,2.86,
9.89,0.08,2.63,
9.64,0.11,2.54,
9.72,-0.06,2.81,
9.95,0.04,2.80,
9.68,0.06,2.54,
9.64,0.01,2.59,
9.88,-0.04,2.86,
9.76,0.09,2.65,
9.59,0.09,2.53,
9.79,-0.04,2.87,
9.90,0.07,2.77,
9.63,0.10,2.56,
9.66,-0.06,2.71,
9.91,0.00,2.89,
9.74,0.14,2.51,
9.63,0.00,2.61,
9.92,0.01,2.87,
9.72,0.10,2.55,
9.59,0.01,2.61,
9.92,0.05,2.78,
9.67,0.11,2.54,
9.64,-0.05,2.53,
9.87,-0.03,2.87,
9.86,0.02,2.71,
9.64,0.11,2.56,
9.77,0.01,2.85,
9.97,0.10,2.84,
9.60,0.08,2.44,
9.88,0.04,2.81,
9.84,0.13,2.62,
9.57,0.09,2.52,
9.89,-0.00,2.90,
9.90,0.09,2.77,
9.69,0.13,2.62,
9.66,-0.05,2.67,
9.82,-0.06,2.82,
9.93,0.08,2.75,
9.66,0.14,2.53,
9.76,0.00,2.83,
9.88,0.09,2.80,
9.61,0.11,2.50,
9.80,-0.02,2.86,
9.92,0.08,2.81,
9.72,0.15,2.54,
9.65,-0.01,2.75,
9.83,-0.04,2.86,
9.90,-0.03,2.85,
9.71,0.11,2.54,
9.54,0.04,2.67,
9.87,-0.05,2.85,
9.94,0.01,2.78,
9.49,0.05,2.65,
9.70,-0.09,2.76,
9.86,0.00,2.94,
9.62,0.16,2.49,
9.70,-0.05,2.70,
9.78,-0.01,2.75,
9.81,0.04,2.78,
9.66,0.19,2.50,
9.71,-0.04,2.61,
9.89,0.04,2.91,
9.71,0.06,2.61,
9.59,0.03,2.57,
9.93,-0.02,2.80,
9.88,0.06,2.76,
9.58,0.13,2.57,
9.87,-0.03,2.81,
9.88,0.02,2.76,
9.64,0.06,2.49,
9.54,-0.02,2.60,
9.88,-0.04,2.82,
9.89,0.09,2.81,
9.64,0.12,2.51,
9.77,-0.03,2.85,
9.89,-0.04,2.85,
9.91,0.07,2.81,
9.54,-0.02,2.49,
9.65,-0.06,2.61,
9.85,-0.07,2.79,
9.97,0.04,2.81,
9.57,0.12,2.54,
9.66,0.00,2.83,
9.94,0.02,2.81,
9.60,0.07,2.51,
9.71,-0.04,2.76,
9.84,0.04,2.84,
9.65,0.12,2.64,
9.59,0.00,2.63,
9.85,-0.06,2.75,
9.79,0.10,2.72,
9.59,0.06,2.53,
9.77,-0.06,2.85,
9.91,0.11,2.75,
9.65,0.10,2.55,
9.66,-0.02,2.73,
9.88,-0.05,2.87,
9.85,0.09,2.73,
9.60,0.04,2.50,
9.85,-0.09,2.81,
9.91,0.07,2.85,
9.71,0.10,2.57,
9.67,-0.05,2.76,
9.83,-0.03,2.88,
9.92,0.05,2.78,
9.63,0.08,2.61,
9.78,-0.04,2.82,
9.88,-0.01,2.82,
9.92,0.09,2.75,
9.52,0.08,2.52,
9.82,-0.04,2.87,
9.92,0.01,2.84,
9.64,0.12,2.50,
9.66,0.01,2.75,
9.97,0.05,2.90,
9.62,0.07,2.45,
9.66,-0.01,2.78,
9.85,0.02,2.76,
9.65,0.14,2.54,
9.64,-0.02,2.67,
9.76,-0.06,2.73,
9.82,-0.03,2.83,
9.79,0.07,2.71,
9.57,0.04,2.57,
9.77,-0.08,2.79,
9.95,0.09,2.72,
9.62,0.13,2.50,
9.64,-0.00,2.65,
9.89,-0.03,2.95,
9.93,0.05,2.73,
9.61,0.10,2.52,
9.85,-0.02,2.82,
9.96,0.04,2.84,
9.74,0.13,2.55,
9.64,-0.04,2.68,
9.80,-0.03,2.90,
9.92,-0.00,2.86,
9.82,0.06,2.79,
9.59,0.01,2.59,
9.84,0.01,2.87,
9.90,0.09,2.70,
9.60,-0.01,2.70,
9.72,-0.06,2.85,
9.88,-0.04,2.84,
9.79,0.12,2.63,
9.55,0.07,2.61,
9.80,0.00,2.78,
9.72,0.13,2.64,
9.57,-0.04,2.51,
9.68,-0.01,2.62,
9.77,-0.04,2.85,
9.88,0.11,2.69,
9.55,0.06,2.52,
9.71,-0.02,2.79,
9.91,0.02,2.91,
9.69,0.06,2.49,
9.54,-0.02,2.53,
9.86,-0.05,2.87,
9.93,0.00,2.81,
9.67,0.19,2.59,
9.73,-0.05,2.89,
9.84,-0.03,2.81,
9.88,0.02,2.83,
9.55,0.04,2.56,
9.81,-0.12,2.76,
9.93,-0.01,2.85,
9.94,0.07,2.74,
9.58,0.04,2.50,
9.79,-0.05,2.79,
9.95,0.02,2.85,
9.63,0.08,2.52,
9.68,0.01,2.74,
9.93,0.02,2.83,
9.60,0.11,2.47,
9.72,-0.06,2.78,
9.82,-0.02,2.79,
9.78,0.11,2.61,
9.57,-0.00,2.59,
9.64,0.03,2.64,
9.98,0.06,2.77,
9.70,0.13,2.51,
9.59,-0.01,2.59,
9.85,-0.01,2.95,
