x,y,z,
10.85,1.27,0.86,
10.10,0.84,0.39,
10.39,0.93,0.69,
10.63,1.22,0.71,
11.06,1.56,1.13,
10.89,1.52,1.16,
10.52,1.43,1.21,
9.53,0.73,0.70,
9.42,0.57,0.52,
10.66,0.98,0.62,
11.05,1.65,1.28,
10.86,1.74,1.26,
10.88,1.45,1.14,
10.65,1.13,0.92,
9.34,0.69,0.64,
9.65,0.82,0.36,
10.84,1.18,0.55,
11.14,1.40,1.09,
10.97,1.35,1.11,
10.62,1.42,1.04,
9.58,0.78,0.44,
9.75,0.68,0.20,
10.68,1.15,0.72,
10.87,1.17,0.87,
11.00,1.35,1.13,
10.81,1.18,1.06,
10.44,0.94,1.12,
10.17,0.52,0.39,
10.39,0.58,0.27,
10.50,0.57,-0.19,
10.17,0.34,0.39,
10.62,-0.26,0.58,
10.69,-0.67,0.24,
10.81,-0.67,0.45,
11.18,-0.22,0.64,
11.20,0.29,0.95,
10.87,-0.04,0.49,
10.67,-0.54,0.05,
10.96,-0.80,-0.25,
11.17,0.51,-0.12,
10.66,1.33,0.21,
10.80,1.36,-0.21,
10.44,1.45,-0.27,
8.96,1.08,1.40,
8.53,0.33,1.03,
10.32,0.19,-0.24,
11.50,0.96,-0.29,
10.82,2.16,0.52,
10.53,1.97,0.41,
11.43,2.08,1.06,
11.67,1.51,0.49,
11.39,1.66,1.14,
10.75,2.00,0.98,
10.50,1.41,0.40,
10.48,1.26,0.40,
9.68,1.81,0.50,
9.49,3.17,2.12,
10.85,2.40,1.26,
11.21,2.44,1.33,
10.77,2.68,1.81,
10.36,1.95,1.73,
10.02,1.02,1.23,
9.47,1.03,1.26,
10.66,1.80,2.34,
11.44,1.73,2.57,
11.77,1.71,2.39,
10.59,2.16,2.97,
9.99,2.85,2.93,
8.90,1.84,1.94,
11.21,1.26,1.81,
11.22,0.86,2.11,
10.82,0.97,1.75,
9.91,1.86,2.00,
8.25,2.17,1.60,
8.21,2.97,1.70,
9.45,3.20,2.30,
8.83,1.97,1.29,
8.40,1.29,0.21,
8.57,2.33,1.25,
9.43,2.82,1.77,
8.42,2.97,1.10,
8.30,3.08,0.12,
9.10,4.12,2.16,
9.17,3.06,1.63,
8.06,1.90,1.15,
9.18,2.37,1.11,
10.05,3.59,1.58,
10.05,3.29,1.48,
8.53,2.51,1.19,
7.95,2.04,0.74,
9.13,2.92,1.25,
9.87,2.76,1.72,
9.45,0.84,0.04,
10.15,0.09,-0.56,
9.52,0.23,0.11,
11.55,1.25,0.87,
